section_id,first_type,HVC,surround,log2_enrich
OR69PU4_1_7,Glut-Pre-3,0,0.01414855987872663,-7.154672301275853
OR69PU4_2_7,Astro-1,0.0712401055408971,5.042864346949068e-4,6.883336983804375
OR69PU4_2_7,Astro-2,0.20316622691292877,0.3237518910741301,-0.6719636400114714
OR69PU4_2_7,Astro-3,0.04221635883905013,0.02723146747352496,0.6306525716777363
OR69PU4_2_7,Endo,0.21108179419525067,0.21432173474533536,-0.0219656846931387
OR69PU4_2_7,Epen,0.026385224274406333,0.03530005042864347,-0.41856369018671574
OR69PU4_2_7,GABA-1-1,0.005277044854881266,0.06202723146747353,-3.5303403542744296
OR69PU4_2_7,GABA-2-2,0.0079155672823219,0.006555723651033787,0.268209093928626
OR69PU4_2_7,GABA-2-3,0.005277044854881266,0.002017145738779627,1.3446929223910198
OR69PU4_2_7,GABA-3,0.002638522427440633,0.008068582955118508,-1.5766881330325733
OR69PU4_2_7,GABA-4-1,0.010554089709762533,0.0070600100857286935,0.5733738090584772
OR69PU4_2_7,GABA-4-2,0.010554089709762533,0,6.735263523644941
OR69PU4_2_7,GABA-5-1,0.002638522427440633,0.0035300050428643467,-0.40657385690892756
OR69PU4_2_7,GABA-5-2,0.005277044854881266,0.010085728693898134,-0.9216637837480913
OR69PU4_2_7,GABA-6,0.002638522427440633,0.011598587997982855,-2.0948648085474466
OR69PU4_2_7,GABA-8,0.002638522427440633,0.007564296520423601,-1.484755682385255
OR69PU4_2_7,Glut-HVC-1,0.10817941952506596,0,10.080543343207234
OR69PU4_2_7,Glut-HVC-1a,0.013192612137203167,0.0035300050428643467,1.8725811795749927
OR69PU4_2_7,Glut-HVC-2,0.06068601583113457,0,9.247595651411194
OR69PU4_2_7,Glut-NR-2,0.002638522427440633,0.0025214321734745334,0.06304247725817175
OR69PU4_2_7,Glut-Pre-1,0.023746701846965697,0.011598587997982855,1.0274553367868595
OR69PU4_2_7,Glut-Pre-2,0.06596306068601583,0.044377206253151794,0.5707776399919239
OR69PU4_2_7,Glut-Pre-3,0.0079155672823219,0.026222894604135148,-1.7154416117960434
OR69PU4_2_7,Micro,0.055408970976253295,0.03530005042864347,0.648969533226547
OR69PU4_2_7,OPC,0.036939313984168866,0.04891578416540595,-0.40418902544886764
OR69PU4_2_7,Oligo-1,0.002638522427440633,5.042864346949068e-4,2.1800932343105095
OR69PU4_2_7,Oligo-2,0.010554089709762533,0.008068582955118508,0.3832496001951854
OR69PU4_2_7,Oligo-3,0.002638522427440633,0.0015128593040847202,0.7637771033799781
