gene,hvcra,int
GRIA3,-1.642854192900192,-0.8266661844807084
TENM4,1.1965881400841727,0.765826819019569
CDH9,1.3186738458144363,1.3022983055595465
PTPRN2,-1.3372817763405882,-0.4634259421332909
ZEB2,1.7941174639251014,1.2260477373435328
EDIL3,1.1563644099065464,0.521433543471244
AUTS2,1.031891918854185,0.2908914989376341
ROBO2,1.7513196351722393,1.324295979577538
GABBR2,-0.9723877164386447,-0.37693403593653185
PCDH7,1.171154707328943,0.9529505983539228
SPOCK1,0.9191685825367917,0.5409389955175858
NRXN1,-1.3157895213905264,-0.6519685833715307
DLGAP2,-1.2338926227266596,-0.49610684669328764
CELF2,-0.9263104222621088,-0.5001125484793327
IL1RAPL1,0.7425749673162114,0.40396924775533805
ADGRB3,-0.7358659782454628,-0.1597246674170414
nbis-2,-3.0563471368222945,-2.428853358281277
TAFA2,-1.5478331737888644,-0.5912263598613761
RIMS2,-0.8377735118515526,-0.6142903003159215
ARNT2,2.5357919002347367,1.2053060069262889
NLGN1,-0.6926199800570703,-0.16906353854060185
GDA,-2.523038486323303,-0.7087592079329894
NTNG1,2.010168345780766,1.2848184502561297
PCNT,2.3445901213971605,0.4641609495547723
RAI2,1.506583389647474,0.5644830810394691
LOC110477800,2.0750810947140863,1.7227355385024563
LOC116183758,3.4522406679530344,1.7685643815883996
LOC110476962,1.0103361398662258,0.3908329097885266
LOC110473741,1.6524876352943905,0.7632243568332008
SEMA6A,-2.6117284387994655,-0.7680209766910299
CACNA1I,-3.639897778247251,-1.545374368131326
ATP6AP1,3.9229981822311193,3.196412375046906
SORBS2,-1.1546651654184765,-1.0462193790701815
TIAM1,-1.9330341085791265,-0.6851490882108742
FAM135B,-7.170098098501467,-1.748146796350805
DMD,0.8122593926461703,0.730908350309647
nbis-10,-4.965623538110505,-3.7101082513222754
GABRB3,2.1652438914850025,1.1691599221872662
SEMA6D,2.4285252722021426,1.9916016909239138
PDE3A,-2.2924295651605266,-0.05898186332287725
ENOX1,-1.2280536562193527,-0.8225885295416726
BAALC,-4.407167096470359,-1.2458070242251618
SNCA,-2.007527598286814,-0.333236005120889
ZEB1,1.5883026104698004,0.4392584274162608
PPFIA2,-0.9165958460101831,-0.5174158515181788
PEAK1,-2.9769455406739933,-0.6595329989254796
ELFN2,-3.8933940542527328,-0.5320841034419064
PTPRF,0.9918865766436726,0.3937205097400269
SLC1A2,-5.445860809178183,-2.019934355807105
GRIA2,-0.7000873778730812,-0.2854495112976325
NRP1,2.019902591913369,2.0835400989979975
TSHZ2,-5.2594910566622755,-0.8462426300662218
LARGE1,-1.349978581136491,-0.33295434284104564
LOC110468875,1.4325748430702607,0.21769041972062692
RASSF3,3.722502460429119,2.612228867347316
CIRBP,-1.1223065819632658,-0.6779974450337147
MAML2,1.3423725105733093,0.5909344511040648
ZNF804A,-3.0965977730149925,-1.9095912641570523
EPHA7,-1.2346393709713013,-0.921991409197739
NETO1,1.0992488219228465,0.42112450369527865
